FID,planteaar,fritrumsprofil,wkb_geometry
trae_basis.1481,1980,Ikke registreret,POINT (12.570887205610617 55.70866866534013)
trae_basis.1482,1980,Ikke registreret,POINT (12.570855206357088 55.70877681444532)
trae_basis.1483,1980,Ikke registreret,POINT (12.570837258387252 55.70887887289829)
trae_basis.1484,1980,Ikke registreret,POINT (12.570764760844275 55.70910909972666)
trae_basis.1485,1980,Ikke registreret,POINT (12.570724392646717 55.70932789029264)
trae_basis.1486,1980,Ikke registreret,POINT (12.570662244036651 55.70953319398394)
trae_basis.1487,1980,Ikke registreret,POINT (12.570632639964435 55.70964318057657)
trae_basis.1488,1980,Ikke registreret,POINT (12.57060892099741 55.70973620741554)
trae_basis.1489,1980,Ikke registreret,POINT (12.570588254742962 55.70984558102079)
trae_basis.1490,1980,Ikke registreret,POINT (12.570558096260108 55.70995257676095)
trae_basis.1491,1980,Ikke registreret,POINT (12.571768138677216 55.709839566107426)
trae_basis.1492,2016,Ikke registreret,POINT (12.571792796881242 55.7097297232031)
trae_basis.1493,1980,Ikke registreret,POINT (12.571940411347562 55.70970571133321)
trae_basis.1494,1980,Ikke registreret,POINT (12.571953991071654 55.709605612664)
trae_basis.1495,1980,Ikke registreret,POINT (12.572033776185664 55.70932957677859)
trae_basis.1496,1980,Ikke registreret,POINT (12.57206610238564 55.709222308588316)
trae_basis.1497,1980,Ikke registreret,POINT (12.57212181777118 55.709126950642364)
trae_basis.1498,1980,Ikke registreret,POINT (12.572178042749547 55.7090371739785)
trae_basis.1499,1980,Ikke registreret,POINT (12.572239447230396 55.7089388280891)
trae_basis.1500,1980,Ikke registreret,POINT (12.572546885096806 55.708438139727036)
trae_basis.1501,1980,Ikke registreret,POINT (12.572381475900075 55.70847023548467)
trae_basis.1502,1980,Ikke registreret,POINT (12.572482906644316 55.70854982482043)
trae_basis.1503,1980,Ikke registreret,POINT (12.57231093410515 55.70856602534782)
trae_basis.1504,1980,Ikke registreret,POINT (12.572252748600128 55.708661455337186)
trae_basis.1505,1980,Ikke registreret,POINT (12.572072437872926 55.70895487137915)
trae_basis.1506,1980,Ikke registreret,POINT (12.572011406825094 55.709054335755695)
trae_basis.1507,1980,Ikke registreret,POINT (12.57194540964458 55.709148875928335)
trae_basis.1508,2010,Ikke registreret,POINT (12.571798143899711 55.70965262044114)
trae_basis.1509,1930,Ikke registreret,POINT (12.572943465414172 55.709956435116254)
trae_basis.1510,1930,Ikke registreret,POINT (12.573130654673161 55.70994398768341)
trae_basis.1511,1930,Ikke registreret,POINT (12.573303142892861 55.709933367229745)
trae_basis.1512,1930,Ikke registreret,POINT (12.57350008999492 55.70991923595297)
trae_basis.1513,2000,Ikke registreret,POINT (12.575179058487507 55.71048309422192)
