FID,planteaar,fritrumsprofil,wkb_geometry
trae_basis.224,2011,4.5 m,POINT (12.551393317729598 55.68734460064314)
trae_basis.1035,2012,Ikke registreret,POINT (12.487641625546482 55.65746659441811)
trae_basis.225,1974,4.5 m,POINT (12.556522320791723 55.682634991727674)
trae_basis.226,1932,4.5 m,POINT (12.555948546230962 55.68313745807359)
trae_basis.227,1932,4.5 m,POINT (12.55614801479293 55.683381643223804)
trae_basis.228,1977,4.5 m,POINT (12.556387521913647 55.68284520735446)
trae_basis.229,1997,4.5 m,POINT (12.556211719550513 55.68332813694837)
trae_basis.230,1997,4.5 m,POINT (12.556664417057862 55.68301386733316)
trae_basis.231,,Ikke registreret,POINT (12.551355738760883 55.68880256451932)
trae_basis.232,1932,4.5 m,POINT (12.556752930456996 55.6829551919166)
trae_basis.233,1970,4.5 m,POINT (12.512958462021292 55.71226932311659)
trae_basis.234,1980,4.5 m,POINT (12.543985546347423 55.68908928030796)
trae_basis.235,1980,4.5 m,POINT (12.54389401050105 55.68912284649685)
trae_basis.236,,Ikke registreret,POINT (12.586254433771623 55.6695381918074)
trae_basis.237,,Ikke registreret,POINT (12.604614366529109 55.65816375937928)
trae_basis.238,2020,Ikke registreret,POINT (12.594674787665758 55.651149704389944)
trae_basis.247,1987,4.5 m,POINT (12.563979113284724 55.676081602709566)
trae_basis.239,1980,4.5 m,POINT (12.543799317475255 55.689157418674775)
trae_basis.240,1987,4.5 m,POINT (12.563819175598494 55.67605821424777)
trae_basis.241,1987,4.5 m,POINT (12.563927847667674 55.675974631458345)
trae_basis.242,,Ikke registreret,POINT (12.551465996117539 55.68863945213459)
trae_basis.243,1987,4.5 m,POINT (12.563859916089365 55.67611724378893)
trae_basis.244,2011,4.5 m,POINT (12.563895973832837 55.67616960843951)
trae_basis.245,1987,4.5 m,POINT (12.563934213024856 55.6760334849271)
trae_basis.248,1987,4.5 m,POINT (12.564023033845508 55.6765012086322)
trae_basis.249,1900,4.5 m,POINT (12.563799209009057 55.676959902836316)
trae_basis.250,1991,4.5 m,POINT (12.564371389256152 55.67564882154928)
trae_basis.251,1991,4.5 m,POINT (12.564314039201859 55.67570208402156)
trae_basis.252,1991,4.5 m,POINT (12.565002667031091 55.675058251943476)
trae_basis.253,1987,4.5 m,POINT (12.564704521649613 55.67585089549616)
trae_basis.254,1987,4.5 m,POINT (12.564148606967812 55.676491115909236)
trae_basis.255,1987,4.5 m,POINT (12.564257546037238 55.676367685344125)
trae_basis.271,2007,4.5 m,POINT (12.579394806066693 55.66756397522974)
trae_basis.256,1987,4.5 m,POINT (12.564373521005775 55.676234772211735)
trae_basis.257,1918,4.5 m,POINT (12.566323369291682 55.6791076026748)
trae_basis.258,1918,4.5 m,POINT (12.566710451142049 55.67940379023079)
trae_basis.259,1918,4.5 m,POINT (12.56679116955987 55.67949744142903)
trae_basis.260,1924,4.5 m,POINT (12.561375981359415 55.68088775020904)
trae_basis.261,1981,4.5 m,POINT (12.562837914341499 55.68163161925847)
trae_basis.262,2001,4.5 m,POINT (12.562997975689164 55.68176305677237)
trae_basis.263,2001,4.5 m,POINT (12.563827903348802 55.68246803940958)
trae_basis.264,1981,4.5 m,POINT (12.564451980202419 55.681157180173564)
trae_basis.265,1981,4.5 m,POINT (12.564994547909343 55.683461697006685)
trae_basis.266,1981,4.5 m,POINT (12.565163549010643 55.683603618731816)
trae_basis.267,1981,4.5 m,POINT (12.565258176777958 55.68356881172143)
trae_basis.268,2001,4.5 m,POINT (12.539510130367601 55.659224214713575)
trae_basis.269,1980,4.5 m,POINT (12.543710502788707 55.68918892049407)
trae_basis.270,1980,4.5 m,POINT (12.543618453083178 55.68921901017957)
trae_basis.272,1906,4.5 m,POINT (12.53119254165715 55.66335934410296)
trae_basis.273,1988,4.5 m,POINT (12.566644273043014 55.6855309472372)
trae_basis.274,1988,4.5 m,POINT (12.566549088888271 55.685699677173815)
trae_basis.275,1980,4.5 m,POINT (12.543534313516362 55.68925254600922)
trae_basis.276,1980,4.5 m,POINT (12.543424126117937 55.68929181838237)
trae_basis.277,2014,2.8 m,POINT (12.55438968672345 55.68251313455378)
trae_basis.278,2014,2.8 m,POINT (12.554552708104053 55.68279100695499)
trae_basis.279,1918,4.5 m,POINT (12.568083397360166 55.68048991561504)
trae_basis.280,1918,4.5 m,POINT (12.5684840227344 55.680794585139516)
trae_basis.281,1988,4.5 m,POINT (12.566226557090616 55.685697470637606)
trae_basis.282,1988,4.5 m,POINT (12.566438898092107 55.68561135656918)
trae_basis.283,1988,4.5 m,POINT (12.566858860105292 55.685447191513)
trae_basis.284,1988,4.5 m,POINT (12.566753897778748 55.685619664201575)
trae_basis.285,1988,4.5 m,POINT (12.567165435863375 55.68546158875102)
trae_basis.291,2014,2.8 m,POINT (12.554750687161786 55.68282926295547)
trae_basis.286,1909,4.5 m,POINT (12.577278610357608 55.674226981608925)
trae_basis.287,1996,4.5 m,POINT (12.577670565317748 55.6739081178767)
trae_basis.288,2014,2.8 m,POINT (12.554583087688403 55.682797490038375)
trae_basis.289,1996,4.5 m,POINT (12.577812968774767 55.67378636732756)
trae_basis.290,,Ikke registreret,POINT (12.50304036199438 55.64952249901832)
trae_basis.292,1996,4.5 m,POINT (12.578626171394115 55.673125988035146)
trae_basis.293,2006,4.5 m,POINT (12.576404592692956 55.6749621690936)
trae_basis.294,2006,4.5 m,POINT (12.576161924088014 55.675161698999894)
trae_basis.295,1996,4.5 m,POINT (12.576672486348334 55.674722011002906)
trae_basis.296,1985,4.5 m,POINT (12.57409246125785 55.68940519331712)
trae_basis.297,1970,4.5 m,POINT (12.574253526514372 55.68960775169227)
trae_basis.298,1970,4.5 m,POINT (12.574675491941171 55.689440262168986)
trae_basis.299,1970,4.5 m,POINT (12.57491045534442 55.689573637305344)
trae_basis.300,1970,4.5 m,POINT (12.574957113349972 55.68949693830293)
trae_basis.301,1970,4.5 m,POINT (12.57508561565074 55.68951846542787)
trae_basis.302,2008,4.5 m,POINT (12.575246927177574 55.68940048391381)
trae_basis.303,1900,4.5 m,POINT (12.575410590064777 55.68946236016968)
trae_basis.304,,Ikke registreret,POINT (12.551198148942314 55.68894054136933)
trae_basis.305,1900,2.8 m,POINT (12.575249441549763 55.68957930001919)
trae_basis.306,1900,2.8 m,POINT (12.57542751087122 55.689644439962734)
trae_basis.307,1960,2.8 m,POINT (12.575589508420796 55.689704404907275)
trae_basis.308,2018,2.8 m,POINT (12.542758956125915 55.688069537020624)
trae_basis.309,,Ikke registreret,POINT (12.513360358526441 55.719618216638885)
trae_basis.310,2008,2.8 m,POINT (12.575927628217578 55.68982907660117)
trae_basis.311,2008,2.8 m,POINT (12.576071523184437 55.68988253682482)
trae_basis.312,2008,4.5 m,POINT (12.576239812283394 55.6897686845678)
trae_basis.1054,,Ikke registreret,POINT (12.574420526674922 55.698728284187105)
trae_basis.313,2012,2.8 m,POINT (12.576253149982815 55.689948932627715)
trae_basis.314,2008,4.5 m,POINT (12.576404124368855 55.68983101515302)
trae_basis.315,2012,2.8 m,POINT (12.576428382163126 55.690011938525956)
trae_basis.316,1900,2.8 m,POINT (12.576595919367069 55.69007388738168)
trae_basis.317,2000,4.5 m,POINT (12.550790833490328 55.70457521925137)
trae_basis.318,2008,4.5 m,POINT (12.551095255367308 55.70473744757342)
trae_basis.319,2018,2.8 m,POINT (12.542529580358016 55.688184337480195)
trae_basis.320,2018,2.8 m,POINT (12.543131653347478 55.688750450470344)
trae_basis.400,,Ikke registreret,POINT (12.512993237259508 55.719335741811435)
trae_basis.321,2018,2.8 m,POINT (12.543596198555765 55.68858250625416)
trae_basis.322,2018,2.8 m,POINT (12.543521762647925 55.68861011250582)
trae_basis.323,2018,2.8 m,POINT (12.543754491407038 55.68852502160801)
trae_basis.324,2018,2.8 m,POINT (12.543674245396952 55.688553509184096)
trae_basis.325,2019,2.8 m,POINT (12.543827657856282 55.68850089045075)
trae_basis.326,2018,2.8 m,POINT (12.543199490960694 55.68872622217134)
trae_basis.327,2020,2.8 m,POINT (12.542805247854112 55.68879026691251)
trae_basis.328,2020,2.8 m,POINT (12.542757891168554 55.68874959340301)
trae_basis.329,2019,4.5 m,POINT (12.556296987612825 55.68290560770424)
trae_basis.330,1908,4.5 m,POINT (12.5523654159765 55.705454596838045)
trae_basis.331,1991,4.5 m,POINT (12.552406190563826 55.70563952210794)
trae_basis.332,2009,4.5 m,POINT (12.5525509594817 55.705563103335834)
trae_basis.333,1991,4.5 m,POINT (12.552597694852109 55.70574492108323)
trae_basis.334,1981,4.5 m,POINT (12.552738668489312 55.70567148182336)
trae_basis.335,2018,2.8 m,POINT (12.578138813150575 55.7031565176402)
trae_basis.336,2018,2.8 m,POINT (12.578015430924228 55.703186918207706)
trae_basis.337,1908,4.5 m,POINT (12.553387549040853 55.70594202265872)
trae_basis.338,1960,4.5 m,POINT (12.55365229204397 55.70609012235358)
trae_basis.339,,Ikke registreret,POINT (12.499517086237068 55.70655282781533)
trae_basis.340,1950,4.5 m,POINT (12.553813660971931 55.7061533356207)
trae_basis.341,1950,4.5 m,POINT (12.553925234691892 55.706159249543624)
trae_basis.342,,Ikke registreret,POINT (12.499833064053158 55.70639092895377)
trae_basis.343,2018,2.8 m,POINT (12.578021498299783 55.703266254679434)
trae_basis.344,1985,4.5 m,POINT (12.553978974805252 55.70624673470737)
trae_basis.345,1985,4.5 m,POINT (12.554093511687585 55.70630688081129)
trae_basis.346,2009,4.5 m,POINT (12.554199599356478 55.706486207274)
trae_basis.347,2009,4.5 m,POINT (12.554432139998813 55.706614915236116)
trae_basis.348,2011,4.5 m,POINT (12.554612973837616 55.706719321910114)
trae_basis.349,2011,4.5 m,POINT (12.554807928320738 55.706825469062615)
trae_basis.350,2005,4.5 m,POINT (12.554997755322468 55.70693104787306)
trae_basis.351,1908,4.5 m,POINT (12.555189884883784 55.707029532323574)
trae_basis.352,1908,4.5 m,POINT (12.555353747769214 55.707119241163134)
trae_basis.353,2011,4.5 m,POINT (12.555655886438808 55.70728957967991)
trae_basis.354,1974,4.5 m,POINT (12.544797827075655 55.689289120568255)
trae_basis.1125,,Ikke registreret,POINT (12.570847819122527 55.703292020515825)
trae_basis.355,1974,4.5 m,POINT (12.544883374509995 55.6894671825641)
trae_basis.356,1987,4.5 m,POINT (12.561348853892977 55.7083075320924)
trae_basis.357,1976,4.5 m,POINT (12.561935644684796 55.707457083792114)
trae_basis.358,1976,4.5 m,POINT (12.56189958245059 55.70752616602382)
trae_basis.359,1976,4.5 m,POINT (12.561646538279339 55.70801002172336)
trae_basis.360,1976,4.5 m,POINT (12.561719465838618 55.70787110623216)
trae_basis.361,1976,4.5 m,POINT (12.561755142464445 55.70780251620163)
trae_basis.362,1976,4.5 m,POINT (12.561681253327274 55.70794386615405)
trae_basis.363,2018,Ikke registreret,POINT (12.517798639957602 55.61673279289445)
trae_basis.364,1976,4.5 m,POINT (12.561801870857463 55.70803583344005)
trae_basis.365,1976,4.5 m,POINT (12.561537877338894 55.70821681823459)
trae_basis.366,1976,4.5 m,POINT (12.561577109906372 55.708143222421064)
trae_basis.367,1976,4.5 m,POINT (12.561611681964195 55.70807763555477)
trae_basis.368,1976,4.5 m,POINT (12.561610739120777 55.70836517246388)
trae_basis.369,1976,4.5 m,POINT (12.561681953244477 55.70824140226614)
trae_basis.370,1976,4.5 m,POINT (12.561647282060383 55.708302093481294)
trae_basis.371,1976,4.5 m,POINT (12.561724540080077 55.708168025089556)
trae_basis.372,1976,4.5 m,POINT (12.561763090340785 55.70810243005765)
trae_basis.373,1976,4.5 m,POINT (12.561961459691904 55.707760848217966)
trae_basis.374,1976,4.5 m,POINT (12.561921930249305 55.707829408258284)
trae_basis.375,1976,4.5 m,POINT (12.561840088667404 55.7079705588287)
trae_basis.376,1974,4.5 m,POINT (12.544954195994276 55.68948292907977)
trae_basis.377,1972,4.5 m,POINT (12.546661686743617 55.68746059767595)
trae_basis.378,1972,4.5 m,POINT (12.54687519895803 55.68762500025943)
trae_basis.379,1895,4.5 m,POINT (12.550001248598129 55.687742281838155)
trae_basis.380,1987,4.5 m,POINT (12.560940569570917 55.709091621070854)
trae_basis.381,1980,4.5 m,POINT (12.553595162898315 55.68498580812181)
trae_basis.382,1999,4.5 m,POINT (12.55404483698687 55.68488671268234)
trae_basis.383,1932,4.5 m,POINT (12.55564115464451 55.683388749856476)
trae_basis.384,1987,4.5 m,POINT (12.561149571367066 55.708692133154216)
trae_basis.385,1987,4.5 m,POINT (12.561185666403277 55.70862245752108)
trae_basis.386,1987,4.5 m,POINT (12.56104434766535 55.70889246068676)
trae_basis.387,1976,4.5 m,POINT (12.561244163895529 55.70877778096204)
trae_basis.388,1976,4.5 m,POINT (12.561356900654323 55.70856384892838)
trae_basis.389,1976,4.5 m,POINT (12.561425199972426 55.70843348119707)
trae_basis.390,1976,4.5 m,POINT (12.561519269591969 55.70852116000818)
trae_basis.391,1976,4.5 m,POINT (12.561440287455465 55.70865743366113)
trae_basis.392,1976,4.5 m,POINT (12.561483457450306 55.70858393834316)
trae_basis.393,1976,4.5 m,POINT (12.561279317282668 55.708708912887104)
trae_basis.394,1976,4.5 m,POINT (12.561039738468578 55.709168030509076)
trae_basis.395,1976,4.5 m,POINT (12.561072945443712 55.70910873152164)
trae_basis.396,1976,4.5 m,POINT (12.561132486817717 55.70917524449989)
trae_basis.397,1976,4.5 m,POINT (12.561168606296883 55.709122767887)
trae_basis.398,1974,4.5 m,POINT (12.561254420148131 55.71365170555793)
trae_basis.399,1974,4.5 m,POINT (12.561357692144242 55.71363091069686)
trae_basis.401,1932,4.5 m,POINT (12.55579155880952 55.6832616844873)
trae_basis.402,1974,4.5 m,POINT (12.561379633656184 55.71369384425629)
trae_basis.403,1900,4.5 m,POINT (12.483949897323251 55.66106554506292)
trae_basis.404,1974,4.5 m,POINT (12.56148775873284 55.71367216290425)
trae_basis.405,1912,4.5 m,POINT (12.56150930242657 55.713735094558075)
trae_basis.406,1912,4.5 m,POINT (12.561639010187783 55.713777035961755)
trae_basis.407,1974,4.5 m,POINT (12.561743804046232 55.71375413781949)
trae_basis.408,1912,4.5 m,POINT (12.56177118303007 55.7138189332279)
trae_basis.409,1974,4.5 m,POINT (12.561854707225036 55.71379259198295)
trae_basis.410,1974,4.5 m,POINT (12.561994663952978 55.71383448484759)
trae_basis.411,1912,4.5 m,POINT (12.561896746205276 55.713859905962984)
trae_basis.412,1912,4.5 m,POINT (12.562027666170724 55.7139015916882)
trae_basis.413,1974,4.5 m,POINT (12.56213205642866 55.71387915871417)
trae_basis.414,1912,4.5 m,POINT (12.562157388113548 55.71394376594576)
trae_basis.415,1974,4.5 m,POINT (12.562258454118059 55.71392024199366)
trae_basis.416,1912,4.5 m,POINT (12.562286215333733 55.71398445536369)
trae_basis.417,1974,4.5 m,POINT (12.562389362092961 55.713961702902736)
trae_basis.943,,Ikke registreret,POINT (12.488492410273022 55.64966443428496)
trae_basis.418,1987,4.5 m,POINT (12.562635470138673 55.727989796055475)
trae_basis.419,1900,4.5 m,POINT (12.562381097792171 55.69845444813354)
trae_basis.420,1932,4.5 m,POINT (12.555564840060834 55.683452589838176)
trae_basis.421,1997,4.5 m,POINT (12.5496143869801 55.68520770305654)
trae_basis.422,,Ikke registreret,POINT (12.498535231706672 55.7055441865649)
trae_basis.423,,Ikke registreret,POINT (12.4988219364467 55.70594877000432)
trae_basis.424,1900,4.5 m,POINT (12.56272932184525 55.69886062869606)
trae_basis.425,1985,4.5 m,POINT (12.563146939402488 55.69908721148149)
trae_basis.426,1900,4.5 m,POINT (12.563801497834568 55.6994351485979)
trae_basis.427,1900,4.5 m,POINT (12.564022469402907 55.69955156834882)
trae_basis.428,1900,4.5 m,POINT (12.563720884040618 55.70182720154357)
trae_basis.429,1895,4.5 m,POINT (12.550855155137032 55.68742314567247)
trae_basis.430,1900,4.5 m,POINT (12.563886485448839 55.70166140787386)
trae_basis.431,1900,4.5 m,POINT (12.564106843127583 55.70175273580619)
trae_basis.432,1900,4.5 m,POINT (12.56353848655365 55.70245527499497)
trae_basis.433,1900,4.5 m,POINT (12.563543755116356 55.70240892828392)
trae_basis.434,1900,4.5 m,POINT (12.56351132001623 55.702542970944194)
trae_basis.435,1900,4.5 m,POINT (12.563482000331806 55.70264429779481)
trae_basis.436,1900,4.5 m,POINT (12.563477550311166 55.70277249450306)
trae_basis.437,1900,4.5 m,POINT (12.56368945048723 55.70219382306102)
trae_basis.438,1900,4.5 m,POINT (12.563755325858144 55.70212366006025)
trae_basis.439,1900,4.5 m,POINT (12.563826828993438 55.70205011020615)
trae_basis.440,1900,4.5 m,POINT (12.56390451182242 55.70198302142121)
trae_basis.441,1900,4.5 m,POINT (12.563970018526927 55.70190629421392)
trae_basis.442,1960,4.5 m,POINT (12.562261611107973 55.70653495660338)
trae_basis.443,1960,4.5 m,POINT (12.56232504212399 55.70655672948587)
trae_basis.444,1960,4.5 m,POINT (12.562348653718626 55.706597814753636)
trae_basis.445,1960,4.5 m,POINT (12.562365421272476 55.70664116094257)
trae_basis.446,1976,4.5 m,POINT (12.562197100577373 55.70735309155441)
trae_basis.447,1976,4.5 m,POINT (12.562160018414275 55.70741929855156)
trae_basis.448,1976,4.5 m,POINT (12.56211987561655 55.70748797745546)
trae_basis.449,1976,4.5 m,POINT (12.562281575402883 55.708266442823955)
trae_basis.450,1976,4.5 m,POINT (12.562244957221806 55.70833355812632)
trae_basis.451,1976,4.5 m,POINT (12.56232111934841 55.708197576882256)
trae_basis.452,1976,4.5 m,POINT (12.562359155397985 55.708129070339986)
trae_basis.453,1900,4.5 m,POINT (12.564408267413107 55.70669656247169)
trae_basis.454,1976,4.5 m,POINT (12.562207486749 55.70840137158013)
trae_basis.455,1976,4.5 m,POINT (12.562168830082605 55.7084698891467)
trae_basis.456,1900,4.5 m,POINT (12.564570021540604 55.70672739592407)
trae_basis.457,1900,4.5 m,POINT (12.56473690687074 55.70675749042933)
trae_basis.458,1980,4.5 m,POINT (12.566460104228485 55.70707479415649)
trae_basis.2565,2016,Ikke registreret,POINT (12.569305945145919 55.66158648478498)
trae_basis.459,2000,4.5 m,POINT (12.566876490662336 55.70715515073903)
trae_basis.460,2000,4.5 m,POINT (12.567064736528483 55.70719218191697)
trae_basis.461,1970,4.5 m,POINT (12.56795068409644 55.70735021204894)
trae_basis.462,1980,4.5 m,POINT (12.568137395933922 55.70738580600184)
trae_basis.463,1900,4.5 m,POINT (12.568680674495278 55.70748428834704)
trae_basis.464,1900,4.5 m,POINT (12.5698768678033 55.70770592530757)
trae_basis.465,1900,4.5 m,POINT (12.570128550294713 55.707753130332755)
trae_basis.466,1981,4.5 m,POINT (12.571855474336731 55.70808399369851)
trae_basis.467,1973,4.5 m,POINT (12.570629613060786 55.70784651452835)
trae_basis.468,1990,4.5 m,POINT (12.571703135306308 55.70805109247806)
trae_basis.469,1900,2.8 m,POINT (12.57675906138227 55.69013348877763)
trae_basis.470,1900,2.8 m,POINT (12.576917825339011 55.6901924587875)
trae_basis.471,1900,2.8 m,POINT (12.577086571993211 55.69025495137536)
trae_basis.472,1900,4.5 m,POINT (12.57731396262489 55.69016345271855)
trae_basis.473,1900,4.5 m,POINT (12.577398140874221 55.6901946214054)
trae_basis.474,2001,4.5 m,POINT (12.540224601557467 55.65971227094286)
trae_basis.475,2001,4.5 m,POINT (12.540294790251716 55.6598390523185)
trae_basis.476,2001,4.5 m,POINT (12.539965658332704 55.66002380533426)
trae_basis.477,1900,4.5 m,POINT (12.577568500705373 55.69025693155966)
trae_basis.478,1900,4.5 m,POINT (12.577727345536802 55.690317022367964)
trae_basis.479,1900,4.5 m,POINT (12.57789618094883 55.6903776701)
trae_basis.489,1986,4.5 m,POINT (12.577473504951296 55.69143236445033)
trae_basis.480,1900,2.8 m,POINT (12.57772551215287 55.69046620838992)
trae_basis.481,1972,2.8 m,POINT (12.540354450795123 55.660344379579314)
trae_basis.482,2001,4.5 m,POINT (12.540541238390379 55.66027270575712)
trae_basis.483,,Ikke registreret,POINT (12.590490791476052 55.66901210400141)
trae_basis.484,,Ikke registreret,POINT (12.602269271058976 55.67106589215497)
trae_basis.485,1900,2.8 m,POINT (12.57797304502741 55.69055784447739)
trae_basis.486,1974,2.8 m,POINT (12.540199734189226 55.664995827868665)
trae_basis.487,1900,4.5 m,POINT (12.578063897946814 55.690438787041)
trae_basis.488,2013,2.8 m,POINT (12.578143466762477 55.69061951473309)
trae_basis.490,1986,4.5 m,POINT (12.577520769807908 55.691491613979565)
trae_basis.491,2012,4.5 m,POINT (12.577440434683126 55.69153910433601)
trae_basis.492,1986,4.5 m,POINT (12.577499271419738 55.69158858440465)
trae_basis.493,1986,4.5 m,POINT (12.577792247966304 55.691556382362315)
trae_basis.494,2009,2.8 m,POINT (12.578388837057513 55.69071056887312)
trae_basis.495,2009,2.8 m,POINT (12.57847094484976 55.690742223421395)
trae_basis.496,1900,2.8 m,POINT (12.578801793138199 55.69086344179768)
trae_basis.497,1900,4.5 m,POINT (12.57887598844231 55.69073875265784)
trae_basis.722,2012,Ikke registreret,POINT (12.565421595167043 55.704748531075175)
trae_basis.498,1900,4.5 m,POINT (12.579042074862736 55.69079445469208)
trae_basis.499,1900,4.5 m,POINT (12.579200369295483 55.69085341702626)
trae_basis.500,1900,2.8 m,POINT (12.5792265667456 55.69101761930579)
trae_basis.501,1900,4.5 m,POINT (12.5793681527781 55.690919762613575)
trae_basis.502,1900,2.8 m,POINT (12.579524290513428 55.69112771408988)
trae_basis.503,1900,2.8 m,POINT (12.579740065302936 55.6912086947393)
trae_basis.504,1900,2.8 m,POINT (12.5798146438167 55.691234876596695)
trae_basis.505,1900,4.5 m,POINT (12.579863037581697 55.691100973284605)
trae_basis.960,,Ikke registreret,POINT (12.5709652024437 55.69706269187868)
trae_basis.506,1900,2.8 m,POINT (12.579963054546493 55.6912897967172)
trae_basis.507,1900,4.5 m,POINT (12.580025260283804 55.691160748775026)
trae_basis.508,1900,2.8 m,POINT (12.580038611197704 55.69131723687042)
trae_basis.509,1900,4.5 m,POINT (12.580340247951293 55.691282088362584)
trae_basis.510,1900,2.8 m,POINT (12.580114124883158 55.69134391392439)
trae_basis.511,1900,2.8 m,POINT (12.580355730289769 55.6914346186965)
trae_basis.512,1900,2.8 m,POINT (12.580430630863935 55.69146113586679)
trae_basis.513,1900,2.8 m,POINT (12.580515724353782 55.69149151318883)
trae_basis.1126,,Ikke registreret,POINT (12.570903696133563 55.703325100179896)
trae_basis.514,1900,4.5 m,POINT (12.58068759913215 55.691402104577065)
trae_basis.515,1900,2.8 m,POINT (12.580615030735776 55.69152791579626)
trae_basis.516,1900,2.8 m,POINT (12.580683232700197 55.69155440970203)
trae_basis.517,1978,4.5 m,POINT (12.54404062921599 55.66677173294396)
trae_basis.518,1985,4.5 m,POINT (12.54407100469442 55.666825767275675)
trae_basis.519,1980,4.5 m,POINT (12.543714502008385 55.669744577124675)
trae_basis.520,1980,4.5 m,POINT (12.543795673788814 55.66963716537407)
trae_basis.521,1980,4.5 m,POINT (12.544187990136487 55.66912636953526)
trae_basis.522,1980,4.5 m,POINT (12.544105134777373 55.66923377548142)
trae_basis.523,1974,4.5 m,POINT (12.545879176412246 55.663700686786946)
trae_basis.524,1999,4.5 m,POINT (12.572700884263714 55.706703375133536)
trae_basis.525,1999,4.5 m,POINT (12.572659952878354 55.70682057988627)
trae_basis.526,1999,4.5 m,POINT (12.572861108928935 55.70680000171126)
trae_basis.527,1990,4.5 m,POINT (12.572193525491667 55.70813888749509)
trae_basis.528,1999,4.5 m,POINT (12.572824261686726 55.7069179803595)
trae_basis.529,1999,4.5 m,POINT (12.573023892362498 55.70689716328858)
trae_basis.530,1999,4.5 m,POINT (12.573180113961145 55.70698402123471)
trae_basis.531,1999,4.5 m,POINT (12.573120439543057 55.707090317436574)
trae_basis.532,1999,4.5 m,POINT (12.573666649773658 55.7074124910487)
trae_basis.533,1999,4.5 m,POINT (12.573730303964705 55.70731067054648)
trae_basis.534,1999,4.5 m,POINT (12.573883061864722 55.707397414133716)
trae_basis.535,1999,4.5 m,POINT (12.57402794940129 55.70748341094486)
trae_basis.536,1999,4.5 m,POINT (12.573828283488368 55.70750610334798)
trae_basis.537,1999,4.5 m,POINT (12.573965545039135 55.70758891499303)
trae_basis.538,1999,4.5 m,POINT (12.57411488705816 55.70767776407102)
trae_basis.539,1999,4.5 m,POINT (12.574330914753821 55.70766157762326)
trae_basis.540,1999,4.5 m,POINT (12.57427078513923 55.70776540062644)
trae_basis.541,1990,4.5 m,POINT (12.572454143642911 55.70819516957734)
trae_basis.542,1933,4.5 m,POINT (12.573156395207624 55.70833363340625)
trae_basis.543,1933,4.5 m,POINT (12.57329475163217 55.70836076518277)
trae_basis.544,1900,4.5 m,POINT (12.573691335453823 55.708432573901085)
trae_basis.545,1970,4.5 m,POINT (12.574631554151388 55.707848860513884)
trae_basis.546,,Ikke registreret,POINT (12.477736520695565 55.6578138553853)
trae_basis.547,,Ikke registreret,POINT (12.477614537703756 55.657684972624224)
trae_basis.548,,Ikke registreret,POINT (12.477872304849926 55.65748772317507)
trae_basis.549,,Ikke registreret,POINT (12.478106448109523 55.65712203819312)
trae_basis.550,2009,4.5 m,POINT (12.569474924789485 55.72852407233861)
trae_basis.551,1974,4.5 m,POINT (12.562516137747018 55.71400241973068)
trae_basis.552,1912,4.5 m,POINT (12.56254223909161 55.71406654587004)
trae_basis.553,1974,4.5 m,POINT (12.562649546496138 55.714044752297674)
trae_basis.554,1912,4.5 m,POINT (12.562674833364667 55.71410854249854)
trae_basis.555,2000,4.5 m,POINT (12.56277962003721 55.71408636249561)
trae_basis.556,1974,4.5 m,POINT (12.56290737134303 55.71412828361914)
trae_basis.557,1974,4.5 m,POINT (12.563036058734689 55.71416957683745)
trae_basis.558,1974,4.5 m,POINT (12.563165980923257 55.71421102759086)
trae_basis.559,2003,4.5 m,POINT (12.56329486320661 55.71425237996725)
trae_basis.560,,Ikke registreret,POINT (12.478433980086455 55.65673409645378)
trae_basis.561,1974,4.5 m,POINT (12.563423454592998 55.71429450122933)
trae_basis.562,1974,4.5 m,POINT (12.563680466985264 55.71437767705654)
trae_basis.563,1974,4.5 m,POINT (12.563813066939943 55.714418881607365)
trae_basis.564,2000,4.5 m,POINT (12.563939262704915 55.71445970621599)
trae_basis.565,1974,4.5 m,POINT (12.564079598621952 55.71449763160505)
trae_basis.566,1951,4.5 m,POINT (12.55155510526547 55.666126345351124)
trae_basis.567,1974,4.5 m,POINT (12.551584668410614 55.66531129506049)
trae_basis.568,1972,4.5 m,POINT (12.551586760893095 55.66642621501369)
trae_basis.961,2011,Ikke registreret,POINT (12.570775171382452 55.697578266052446)
trae_basis.569,1912,4.5 m,POINT (12.563904221925373 55.71451013703219)
trae_basis.570,2000,4.5 m,POINT (12.564219304903936 55.714609819550475)
trae_basis.571,1974,4.5 m,POINT (12.564335626250404 55.71457937693018)
trae_basis.572,1974,4.5 m,POINT (12.56434650174527 55.71465087747637)
trae_basis.573,2000,4.5 m,POINT (12.564876443085044 55.714807483901794)
trae_basis.574,1912,4.5 m,POINT (12.565001848921638 55.71485064432513)
trae_basis.575,1912,4.5 m,POINT (12.565509719112349 55.71501297574656)
trae_basis.576,1973,2.8 m,POINT (12.559231743775365 55.67473183195925)
trae_basis.584,1902,4.5 m,POINT (12.57180088125375 55.72070097651278)
trae_basis.577,1912,4.5 m,POINT (12.566159107708849 55.71522393801793)
trae_basis.578,1912,4.5 m,POINT (12.566544668528019 55.71528744163828)
trae_basis.579,1912,4.5 m,POINT (12.566555667297557 55.715347205818105)
trae_basis.580,1912,4.5 m,POINT (12.56667996696487 55.715389931104916)
trae_basis.581,2000,4.5 m,POINT (12.566807418085158 55.71543060458644)
